,AAPL
address1,One Apple Park Way
city,Cupertino
state,CA
zip,95014
country,United States
phone,(408) 996-1010
website,https://www.apple.com
industry,Consumer Electronics
industryKey,consumer-electronics
industryDisp,Consumer Electronics
sector,Technology
sectorKey,technology
sectorDisp,Technology
longBusinessSummary,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California."
fullTimeEmployees,150000
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Timothy D. Cook', 'age': 63, 'title': 'CEO & Director', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 16239562, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeffrey E. Williams', 'age': 60, 'title': 'Chief Operating Officer', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 4637585, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Katherine L. Adams', 'age': 60, 'title': 'Senior VP, General Counsel & Secretary', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 4618064, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': ""Ms. Deirdre  O'Brien"", 'age': 57, 'title': 'Chief People Officer & Senior VP of Retail', 'yearBorn': 1967, 'fiscalYear': 2023, 'totalPay': 4613369, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kevan  Parekh', 'age': 52, 'title': 'Senior VP & CFO', 'yearBorn': 1972, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Chris  Kondo', 'title': 'Senior Director of Corporate Accounting', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Suhasini  Chandramouli', 'title': 'Director of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Kristin Huguet Quayle', 'title': 'Vice President of Worldwide Communications', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Greg  Joswiak', 'title': 'Senior Vice President of Worldwide Marketing', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Adrian  Perica', 'age': 50, 'title': 'Vice President of Corporate Development', 'yearBorn': 1974, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,7
boardRisk,1
compensationRisk,3
shareHolderRightsRisk,1
overallRisk,1
governanceEpochDate,1740787200
compensationAsOfEpochDate,1703980800
irWebsite,http://investor.apple.com/
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,213.49
open,213.36
dayLow,209.98
dayHigh,215.22
regularMarketPreviousClose,213.49
regularMarketOpen,213.36
regularMarketDayLow,209.98
regularMarketDayHigh,215.22
dividendRate,1.0
dividendYield,0.47
exDividendDate,1739145600
payoutRatio,0.1571
fiveYearAvgDividendYield,0.59
beta,1.178
trailingPE,34.02226
forwardPE,25.752104
volume,47841607
regularMarketVolume,47841607
averageVolume,53441279
averageVolume10days,57274450
averageDailyVolume10Day,57274450
bid,0.0
ask,0.0
bidSize,0
askSize,0
marketCap,3214729543680
fiftyTwoWeekLow,164.08
fiftyTwoWeekHigh,260.1
priceToSalesTrailing12Months,8.122927
fiftyDayAverage,234.2014
twoHundredDayAverage,227.89275
trailingAnnualDividendRate,0.99
trailingAnnualDividendYield,0.0046372195
currency,USD
tradeable,False
enterpriseValue,3257747636224
profitMargins,0.24295
floatShares,14998187904
sharesOutstanding,15022100480
sharesShort,134441154
sharesShortPriorMonth,124917523
sharesShortPreviousMonthDate,1738281600
dateShortInterest,1740700800
sharesPercentSharesOut,0.009
heldPercentInsiders,0.0207
heldPercentInstitutions,0.62793
shortRatio,2.71
shortPercentOfFloat,0.009
impliedSharesOutstanding,15787400192
bookValue,4.438
priceToBook,48.219917
lastFiscalYearEnd,1727481600
nextFiscalYearEnd,1759017600
mostRecentQuarter,1735344000
earningsQuarterlyGrowth,0.071
netIncomeToCommon,96150003712
trailingEps,6.29
forwardEps,8.31
lastSplitFactor,4:1
lastSplitDate,1598832000
enterpriseToRevenue,8.232
enterpriseToEbitda,23.718
52WeekChange,0.21535671
SandP52WeekChange,0.09589827
lastDividendValue,0.25
lastDividendDate,1739145600
quoteType,EQUITY
currentPrice,214.0
targetHighPrice,325.0
targetLowPrice,197.0
targetMeanPrice,252.2059
targetMedianPrice,255.0
recommendationMean,2.02222
recommendationKey,buy
numberOfAnalystOpinions,39
totalCash,53774999552
totalCashPerShare,3.58
ebitda,137352003584
