Date,CPI,Unemployment,FedFundsRate,RetailSales,IndustrialProduction,LeadingIndicators
2010-01-01,217.488,9.8,0.11,345889.0,89.1897,0.54
2010-02-01,217.281,9.8,0.13,346724.0,89.5046,0.76
2010-03-01,217.353,9.9,0.16,354119.0,90.1356,1.1
2010-04-01,217.403,9.9,0.2,357354.0,90.4607,1.14
2010-05-01,217.29,9.6,0.2,354068.0,91.7014,1.42
2010-06-01,217.199,9.4,0.18,353647.0,91.9033,1.45
2010-07-01,217.605,9.4,0.18,354717.0,92.2549,1.41
2010-08-01,217.923,9.5,0.19,356448.0,92.5936,0.89
2010-09-01,218.275,9.5,0.19,359359.0,92.8533,0.51
2010-10-01,219.035,9.4,0.19,363469.0,92.6033,0.79
2010-11-01,219.59,9.8,0.19,367051.0,92.6686,1.4
2010-12-01,220.472,9.3,0.18,369139.0,93.5916,1.52
2011-01-01,221.187,9.1,0.17,371841.0,93.3889,1.43
2011-02-01,221.898,9.0,0.16,375017.0,93.0045,1.49
2011-03-01,223.046,9.0,0.14,378506.0,93.9684,1.65
2011-04-01,224.093,9.1,0.1,380335.0,93.6571,1.53
2011-05-01,224.806,9.0,0.09,380024.0,93.7723,1.3
2011-06-01,224.806,9.1,0.09,383142.0,94.0493,1.23
2011-07-01,225.395,9.0,0.07,382837.0,94.4958,1.31
2011-08-01,226.106,9.0,0.1,383691.0,95.0974,1.64
2011-09-01,226.597,9.0,0.08,387567.0,95.0244,1.38
2011-10-01,226.75,8.8,0.07,389853.0,95.6891,1.56
2011-11-01,227.169,8.6,0.08,391274.0,95.6778,1.81
2011-12-01,227.223,8.5,0.07,391510.0,96.1809,1.73
2012-01-01,227.842,8.3,0.08,395469.0,96.7595,1.97
2012-02-01,228.329,8.3,0.1,400300.0,97.0662,1.89
2012-03-01,228.807,8.2,0.13,401569.0,96.5609,1.94
2012-04-01,229.187,8.2,0.14,399972.0,97.251,1.82
2012-05-01,228.713,8.2,0.16,399180.0,97.4595,1.73
2012-06-01,228.524,8.2,0.16,395595.0,97.4768,1.5
2012-07-01,228.59,8.2,0.16,397407.0,97.6714,1.47
2012-08-01,229.918,8.1,0.13,402211.0,97.2734,1.44
2012-09-01,231.015,7.8,0.14,405357.0,97.2217,1.62
2012-10-01,231.638,7.8,0.16,405437.0,97.5311,1.82
2012-11-01,231.249,7.7,0.16,407308.0,97.9084,1.37
2012-12-01,231.221,7.9,0.16,408665.0,98.1884,1.58
2013-01-01,231.679,8.0,0.14,412115.0,98.1736,1.71
2013-02-01,232.937,7.7,0.15,417013.0,98.6434,2.0
2013-03-01,232.282,7.5,0.14,414024.0,99.047,1.8
2013-04-01,231.797,7.6,0.15,411770.0,98.9445,1.71
2013-05-01,231.893,7.5,0.11,414325.0,99.0383,1.67
2013-06-01,232.445,7.5,0.09,415442.0,99.2221,1.56
2013-07-01,232.9,7.3,0.09,418110.0,98.8987,1.54
2013-08-01,233.456,7.2,0.08,417377.0,99.4897,1.67
2013-09-01,233.544,7.2,0.08,417654.0,100.021,1.75
2013-10-01,233.669,7.2,0.09,419247.0,99.9037,1.39
2013-11-01,234.1,6.9,0.08,420513.0,100.1582,1.54
2013-12-01,234.719,6.7,0.09,422794.0,100.374,1.5
2014-01-01,235.288,6.6,0.07,419015.0,99.9899,1.85
2014-02-01,235.547,6.7,0.07,424793.0,100.7471,1.41
2014-03-01,236.028,6.7,0.08,429132.0,101.7435,1.49
2014-04-01,236.468,6.2,0.09,433530.0,101.8273,1.79
2014-05-01,236.918,6.3,0.09,434248.0,102.2392,1.85
2014-06-01,237.231,6.1,0.1,435438.0,102.5774,1.95
2014-07-01,237.498,6.2,0.09,436150.0,102.7954,1.92
2014-08-01,237.46,6.1,0.09,439518.0,102.6322,1.74
2014-09-01,237.477,5.9,0.09,438459.0,102.9417,1.97
2014-10-01,237.43,5.7,0.09,440095.0,102.9611,2.04
2014-11-01,236.983,5.8,0.09,441249.0,103.5978,1.74
2014-12-01,236.252,5.6,0.12,438509.0,103.6151,2.02
2015-01-01,234.747,5.7,0.11,436125.0,102.7923,1.7
